subject,label
Never agree to be a loser,1
Befriend Jenna Jameson,1
CNN.com Daily Top 10,1
Re: svn commit: r619753 - in /spamassassin/trunk: lib/Mail/SpamAssassin/PerMsgStatus.pm lib/Mail/SpamAssassin/Util/RegistrarBoundaries.pm t/uri_text.t,0
SpecialPricesPharmMoreinfo,1
From Caroline Aragon,1
Replica Watches,1
CNN.com Daily Top 10,1
[Bug 5780] URI processing turns uuencoded strings into http URI's which then causes FPs,0
CNN.com Daily Top 10,1
debt consolidation ,1
"It combines the best of Creative Suite 3 Design Premium, Web Premium, and Production Premium editions",1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
Fifth / Sixth month,1
RE: Trial IRC Certificate Application,0
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
"Re: [opensuse] Why can't I use ""shutdown now"" to turn off my system?",0
Re: Fwd: [opensuse] Re: openSUSE Boxed Editions,0
ScienceNOW Daily Email Alert,0
"[perl #46011] overload ""0+"" doesn't handle integer results ",0
"Wekalist Digest, Vol 60, Issue 10",0
"[Spambayes-checkins] spambayes/spambayes storage.py,1.61,1.62",0
Re: [opensuse] du -shx issue/question,0
;) Look porno Gallery!!!,1
Your order,1
Re: [opensuse] OpenSuse 11,0
Love consultants recommend herbal products,1
MBA-Degreees not for sale- get it.,1
CNN.com Daily Top 10,1
Man's stuff store,1
Change your weakness to power,1
Re: Regex issue with scoping in loops. ,0
[Bookscanada] Was a book written about this - - ?,0
CNN.com Daily Top 10,1
Karma sutra and massage foreplay techniques,1
Touch her heart with your new babymaker.,1
[Bug 5780] [review] URI processing turns uuencoded strings into http URI's which then causes FPs,0
Mega-huge dimension for you!,1
Tell your  friend how to quit smoking.,1
CNN.com Daily Top 10,1
impeccable impedance facet vincent henbane,1
[Crm114-announce] crm114 filters all mails to unsure ..,0
WinnipegFreePress.com Breaking News,0
Re: [opensuse] OpenSuse 11,0
Answers to erectile dysfunction,1
Weird Stories from NBC11.com,0
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CEAS 2007 Live Spam Challenge,0
Re: [opensuse] du -shx issue/question,0
Re: [opensuse] The new openSUSE community representative,0
[Bug 5813] [review] several TLDs are not parsed by URI text scanner in PerMsgStatus.pm,0
"[Perl Jobs] Perl developer, Hungary, Budapest",0
"[Perl Jobs] Software Engineer, Weather (onsite), United Kingdom, London",0
"Organic Bytes: Organic Fraud, Brainwashing Children, Anthrax, Green  Solutions...",0
"[Perl Jobs] Perl & Apache & Unix/Linux & Mysql/Oracle Software Engineer (part onsite), India, Karnataka, Bangalore",0
photo Interesting for 7eac07b0ac7489227e7e5bcf767b2dd3 ,1
"[Perl Jobs] Perl Developer (onsite), United States, CT, Manchester",0
[spambayes-dev] WG: false positive,0
* All the excitement all the fun and all the money! ,1
Money back  guarantee to ensure results!,1
[R] Mixed model with multiple response variables?,0
Make your gf happy,1
"[Perl Jobs] Open Source Perl Developer  (onsite), United States, California, Sunnyvale",0
Mego claybourne suggestion,1
CNN.com Daily Top 10,1
We offer you happiness,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
ID:19346 The world's largest online prescription-free apothecary,1
Ravishing Bvlgari watches at Replica Classics   ,1
"[Python-Dev] Python-Dev Summary Draft (April 1-15, 2007)",0
Splendid Health Joy,1
CNN.com Daily Top 10,1
Succeed in close relationships,1
"[Perl Jobs] Unix-Scripting Expert (onsite), United States, IL, Schaumburg",0
Perfected Health Joy,1
CNN.com Daily Top 10,1
Premo Narcotic Discounts,1
Splendid Rx Joy,1
Chanel Watches,1
Re: Change 32008: Upgrade to CPAN 1.9203,0
Katerina age 29 -on dating ,1
CNN.com Daily Top 10,1
Satisfy your woman?s craving easily,1
Answers to erectile dysfunction,1
Supervisors PhD students: 6-monthly reports...,0
Great pharm shop,1
CNN.com Daily Top 10,1
[perl #45981] socket memory leak + test case ,0
"Re: [Python-Dev] Python-Dev Summary Draft (April 1-15, 2007)",0
"Re: [Python-Dev] Python-Dev Summary Draft (April 1-15, 2007)",0
CNN.com Daily Top 10,1
"Re: [Python-Dev] Python-Dev Summary Draft (April 1-15, 2007)",0
"Re: [Python-Dev] Python-Dev Summary Draft (April 1-15, 2007)",0
"[Perl Jobs] Top NYC LAMP shop / B2B mod_perl / Perl developer (onsite), United States, NY, New York",0
[SM-USERS] SM 1.4.13 Configuration Question: Mail Domain Parameter,0
ACNielsen Your Voice * 150 e-points for survey completion O101300116	(ONL3038) B,0
CialisEffectivenessAllProducts,1
"Wekalist Digest, Vol 60, Issue 11",0
Angelina Jolie Free Video.,1
us debt,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
The search for high quality m_edz and save your money?,1
Items for Man's health,1
world of clocks,1
Emerging Technologies Friday Update (02/08/2008),0
CNN.com Daily Top 10,1
World largest selection of medical products for men and women.,1
CNN.com Daily Top 10,1
Help Stop Premature Ejaculation! ,1
CNN.com Daily Top 10,1
"Re: [Python-Dev] Python-Dev Summary Draft (April 1-15, 2007)",0
123,1
Immense dimension of your monster,1
[UAI] [3dpvt2004] 3DPVT 2004: Technical Program and Registration,0
sa-learn --ham ground rules,0
CNN.com Daily Top 10,1
Re: [doap-interest] New DOAP repository: doapspace.org,0
Re: svn commit: r619753 - in /spamassassin/trunk: lib/Mail/SpamAssassin/PerMsgStatus.pm lib/Mail/SpamAssassin/Util/RegistrarBoundaries.pm t/uri_text.t,0
Re: Regex issue with scoping in loops.,0
[spambayes-dev] [patches] IMAP and train-to-exhaustion,0
PhD 6 monthly reports...thanks...,0
"Valentine, be on time! Shop by Sunday",0
Re: [opensuse] du -shx issue/question,0
Good day !,1
CNN.com Daily Top 10,1
Love doctors recommend flirting as cure,1
Science Scienceexpress Notification for 7 Feb 2008,0
Answers to erectile dysfunction,1
CNN.com Daily Top 10,1
Interesting Medical Alternatives,1
CNN.com Daily Top 10,1
Science CiteTrack: Editors' Choice: Highlights of the recent literature,0
Do European Union Drugs not refuse him in plesure,1
Massage techniques to help your man pole,1
SOLD OUT -- -Looking for perfect gift? Buy Rolex    4vwd,1
SOLD OUT -- -Looking for perfect gift? Buy Rolex    4vwd,1
Which Ones Really Work? We List The Top Penis Enlargement Products!,1
CNN.com Daily Top 10,1
[clamav-virusdb] Update (daily: 5734),0
5 new messages in 4 topics - abridged,0
29 new messages in 14 topics - abridged,0
Re: flooded with jr* spam,0
[Bug 5813] [review] several TLDs are not parsed by URI text scanner in PerMsgStatus.pm,0
Re: permission denied while using pipe in master.cf,0
Re: [spambayes-dev] [patches] IMAP and train-to-exhaustion,0
"[TechRepublic] Geekend: Sci-fi books that make you dumb, C64 lives",0
Your order,1
[ spambayes-Patches-1707814 ] More resilient parsing for sb_imapfilter,0
[clamav-virusdb] Update (daily: 5735),0
It will rise faster and stay up longer.,1
Join the only real club! The winner's club! Winning is about money and US players know $2400 when they see them! Seeing is winning at our casino. Walk away a winner just for visiting.,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
For: 90e5bd77f1c295c6230bf2386176ab32 Stock Markets Close As Global Earth World Planet International Buys All Shares,1
From Brandie Stinson,1
[Bug 5813] [review] several TLDs are not parsed by URI text scanner in PerMsgStatus.pm,0
Re: [spambayes-dev] [patches] IMAP and train-to-exhaustion,0
caller() info in DESTROY off?,0
Re: [doap-interest] New DOAP repository: doapspace.org,0
$500 dollars without deposit!,1
"[ spambayes-Bugs-1707852 ] Can't classify words beginning with ""tem""",0
Science CiteTrack: This Week In Science,0
[clamav-virusdb] Update (daily: 5736),0
Re: caller() info in DESTROY off?,0
Your order is executed,1
Friends & Family - 15% OFF your entire order - spread the word!,0
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
You can increase the time of your sexual act ,1
Help Stop Premature Ejaculation! ,1
ALL MAJOR DESIGNER REPLICA W ATCHES!   ,1
"You Can Enlarge Your Penis By 3""",1
Katerina age 29 -on dating ,1
Exclusive stuff for mans,1
[clamav-virusdb] Update (daily: 5737),0
CNN.com Daily Top 10,1
How to make money like a porn star,1
[clamav-virusdb] Update (daily: 5738),0
CNN.com Daily Top 10,1
Re: svn commit: r619753 - in /spamassassin/trunk: lib/Mail/SpamAssassin/PerMsgStatus.pm lib/Mail/SpamAssassin/Util/RegistrarBoundaries.pm t/uri_text.t ,0
Re: [opensuse] OpenSuse 11,0
[Bug 5790] update INSTALL docs to note DNSBL usage bug in Solaris 8,0
[Bug 5790] update INSTALL docs to note DNSBL usage bug in Solaris 8,0
postfix + dkim-filter + email lists - milter troubles (can't read SMFIC_HEADER,0
Orvis New York News,0
[duodenalswitch] Digest Number 13712,0
You don't have to worry about paying exorbitant prices  for your medications anymore.,1
Replica Watches,1
[clamav-virusdb] Update (daily: 5739),0
Attract more hot women,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
[perl #46019] Documentation for 'srand' has a problem in code snippet ,0
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
Jenna Jameson wants you as BFF,1
Mail Sending problem,0
Impress others with your style,1
Jenna Jameson wants you as BFF,1
"This works for any product, website or affiliate website!",1
Exclusive models of HQ rep1!c@s,1
Call for Papers - NZCSRSC 08,0
Dice JobAlert for Agent Primary,0
"[Python-Dev] April 1-15, 2007 Summaries Final Draft",0
[Bug 5813] [review] several TLDs are not parsed by URI text scanner in PerMsgStatus.pm,0
"clamav-users Digest, Vol 41, Issue 6",0
[clamav-virusdb] Update (daily: 5740),0
Re: [SM-USERS] squirrelmail v1.4.13 and Login Redirect Plugin v2.1,0
CNN.com Daily Top 10,1
"Science Table of Contents Text for Cities: 8 February 2008; Vol. 319, No. 5864",0
Drink from the fountain of youth,1
"TuxOnIce-users Digest, Vol 36, Issue 10",0
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
[UAI] ECIR'05: Call for papers,0
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
[Bug 5815]  New: New TLD .rs,0
Recommended plastic surgery for men,1
CNN.com Daily Top 10,1
Amazingly fast payouts,1
[Python-Dev] os.rename on windows,0
Aim for great success,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
SASL questions,0
CNN.com Daily Top 10,1
Re: [dkim-milter-discuss] postfix + dkim-filter + email lists - milter  troubles (can't read SMFIC_HEADER,0
CNN.com Daily Top 10,1
[clamav-virusdb] Update (daily: 5741),0
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
"Google Alert - ""active learning""",0
LAST DAY for Free Express Upgrade for Valentine's Day!,0
Re: [dkim-milter-discuss] postfix + dkim-filter + email lists - milter troubles (can't read SMFIC_HEADER,0
Service alert: spamassassin.zones.apache.org/BBMASS is WARNING,0
Re: [R] Greek characters in plots,0
CNN.com Daily Top 10,1
Re: [perl #46019] Documentation for 'srand' has a problem in code snippet,0
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
[clamav-virusdb] Update (daily: 5742),0
CNN.com Daily Top 10,1
Lose 10 pounds in 3 weeks,1
CNN.com Daily Top 10,1
Service alert: spamassassin.zones.apache.org/BBMASS is CRITICAL,0
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
Gain bonus inches without side effects,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
Gain bonus inches without side effects,1
Service alert: spamassassin.zones.apache.org/BBMASS is WARNING,0
[ie-rant] hp pavilion issues,0
Is mobile really a sure thing for Google? | CNET News.com Alert ,0
Will IM ever kick off its shackles? | CNET News.com Alert ,0
Sandisk 4GB Titanium $19.99 . 2GB 150x SD $4 . 4GB MicroSD $19,0
Service alert: spamassassin.zones.apache.org/BBMASS is OK,0
Become more strong and mighty,1
Become more strong and mighty,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
Unique men's health shop,1
CNN.com Daily Top 10,1
From Sonja Henley,1
CNN.com Daily Top 10,1
[SM-USERS] errors,0
Karma sutra and massage foreplay techniques,1
CNN.com Daily Top 10,1
Man fined for having long penn,1
Re: sa-learn weirdness...,0
video with a naked celebrity Kick-up for b71af2efa87d808060a15b1f88394556 ,1
Womens wish list for men,1
"There's a shop for beauty products, pharmacy called Canadian Chemists.",1
Satisfy your partner every night,1
3 Day Weekend Sale - Low Prices This Weekend Only!,0
Re: [dkim-milter-discuss] postfix + dkim-filter + email lists - milter troubles (can't read SMFIC_HEADER,0
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
[clamav-virusdb] Update (daily: 5744),0
Re: [dkim-milter-discuss] postfix + dkim-filter + email lists - milter troubles (can't read SMFIC_HEADER,0
PhD 6-monthly reports...,0
"Wekalist Digest, Vol 60, Issue 12",0
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
Re: Virtual Config Dir Problem,0
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
Re: [Python-Dev] os.rename on windows,0
Your Digital Greeting Card is waiting,1
CNN.com Daily Top 10,1
Force men things,1
[UAI] WIRN04 Technical program,0
Highly secure 256bit order processing,1
Money back  guarantee to ensure results!,1
High Quality Rolex Replica Watches,1
Re: [opensuse] OpenSuse 11,0
Love doctors recommend flirting as cure,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
*3 FREE Bottles Of VPXL !! ,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
Re: [opensuse] OpenSuse 11,0
CNN.com Daily Top 10,1
Re: [opensuse] OpenSuse 11,0
Re: [Python-Dev] os.rename on windows,0
Re: [opensuse] OpenSuse 11,0
Re: [opensuse] OpenSuse 11,0
You're Invited to Our Friends & Family Event,0
Re: [Python-Dev] os.rename on windows,0
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
Re: [dkim-milter-discuss] postfix + dkim-filter + email lists - milter  troubles (can't read SMFIC_HEADER,0
CNN.com Daily Top 10,1
[Bug 5790] update INSTALL docs to note DNSBL usage bug in Solaris 8,0
Proven Effective for 72 Hours Free Trial Sample Available Today,1
Dont be left behind because of bad alth.,1
Give freedom of your dreams,1
[Bug 5816]  New: AWL AutoWhiteList,0
Qualitative replica watches for most exacting people   ,1
Keep the young girls away from that bulch,1
CNN.com Daily Top 10,1
Quit smoking  easily with anti-smoking patches.,1
Love doctors recommend flirting as cure,1
Re: [Python-Dev] os.rename on windows,0
CNN.com Daily Top 10,1
Perfect proportions are easily attained,1
fw: Окна ПВХ-ЗАБУДЬТЕ ПРО ШУМ!,1
CNN.com Daily Top 10,1
Choose the best online drugstore !,1
CNN.com Daily Top 10,1
Re: Mail Sending problem,0
100% Money Back Guarantee. ,1
buildbot failure in mleisi-suse10.2-x86,0
Answers to your love relationship,1
BCC mail 'storms',0
Get the best that TechRepublic has to offer in a single download! | ZDNet Announcements,0
[Bug 5814] uri PORN_4 regex false positive on http://www.google-analytics.com,0
CNN.com Daily Top 10,1
Find a Sweet Deal This Valentine's Day at GNC!,0
CNN.com Daily Top 10,1
"Webcast Roundup: Exchange 2007 deployment case study, mailbox role memory characterizations, and more",0
[spambayes-dev] I used SpamBayes for class project - thanks!,0
Re: sa-learn weirdness...,0
Open now for your eCard,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
Unforgettable views,1
Science CiteTrack: Science News This Week,0
CNN.com Daily Top 10,1
Karma sutra and massage foreplay techniques,1
CNN.com Daily Top 10,1
Webcast Roundup: Adobe Acrobat 8: Solving Today's Communication Challenges and more,0
do you have 10 inches? Maybe You want enlarge him,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
How to make money like a porn star,1
New White Paper: Terminal emulation: Overview and best practices,0
Satisfy your partner every night,1
Karma sutra and massage foreplay techniques,1
CNN.com Daily Top 10,1
Get hung like no one else,1
CNN.com Daily Top 10,1
Re: BCC mail 'storms',0
CNN.com Daily Top 10,1
Goodiest giovanne solution,1
New White Paper: Deploy New Technology and Applications Without Downtime or Disruption,0
[spambayes-dev] Vista compatibilty,0
Re: Mail Sending problem,0
Re: [ie-rant] back-up incremental software,0
Webcast & Podcast Roundup: Best Practices for Infrastructure Alignment of the Remote Office and more,0
Re: Mail Sending problem,0
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
Re: [perl #45513] Test failures on amd64-freebsd 6.2,0
First Steps to Unified Communications and More,0
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
Man's stuff mall,1
"fedora-announce-list Digest, Vol 48, Issue 4",0
Mail attachements truncated,0
Answers to erectile dysfunction,1
Answers to erectile dysfunction,1
Be not afraid of making changes in your life,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
[Bug 5816] AWL AutoWhiteList,0
How to make money like a porn star,1
"Science Table of Contents Posting Notification for Cities: 8 February 2008; Vol. 319, No. 5864",0
CNN.com Daily Top 10,1
Re: [patch@31780] fixes for cpanplus on VMS,0
Recommended plastic surgery for men,1
CNN.com Daily Top 10,1
From Casandra Moss,1
Re: Mail attachements truncated,0
CanadianFastShippingGenerics,1
Jenna Jameson wants you as BFF,1
Feb. 14th: Top trends impacting two-factor authentication,0
Jenna Jameson wants you as BFF,1
Classy things you could give to your folks,1
